Employee_id,manager_chain
51421,"""51337"",""30144"""
51376,"""51337"",""30144"""
31916,"""51337"",""30144"""
51405,"""51337"",""30144"""
51137,"""51337"",""30144"""
51269,"""51337"",""30144"""
51241,"""51337"",""30144"""
51060,"""51337"",""30144"""
51006,"""51337"",""30144"""
51136,"""51337"",""30144"""
51383,"""51337"",""30144"""
51260,"""51337"",""30144"""
51324,"""51337"",""30144"""
51275,"""51337"",""30144"""
51378,"""51337"",""30144"""
51402,"""51337"",""30144"""
